specimen collector sample ID,lineage name,host (scientific name),breadth of coverage value,sample collection date,geo_loc_name (country),gisaid_epi_isl
ON_678211,JN.1.4,Homo sapiens,97.1,2023-11-24,Canada,EPI_ISL_18581995
ON_677977,JN.1,Homo sapiens,99.6,2023-11-24,Canada,EPI_ISL_18581786
ON_678089,JN.1,Homo sapiens,99.6,2023-11-24,Canada,EPI_ISL_18581877
AB_676400,JN.1,Homo sapiens,99.3,2023-11-24,Canada,EPI_ISL_18593764
ON_677868,JN.1.4,Homo sapiens,99.6,2023-11-24,Canada,EPI_ISL_18582223
ON_678192,JN.1.1,Homo sapiens,97.4,2023-11-24,Canada,EPI_ISL_18581976
AB_676357,JN.1,Homo sapiens,99.3,2023-11-24,Canada,EPI_ISL_18593742
QC_682231,JN.1,Homo sapiens,99.6,2023-11-24,Canada,EPI_ISL_18654280
AB_676524,JN.1.2,Homo sapiens,99.3,2023-11-24,Canada,EPI_ISL_18593849
NL_676608,JN.1.4,Homo sapiens,99.3,2023-11-24,Canada,EPI_ISL_18714828
ON_677848,JN.1.31,Homo sapiens,99.6,2023-11-24,Canada,EPI_ISL_18582219
ON_678052,JN.1,Homo sapiens,99.6,2023-11-24,Canada,EPI_ISL_18581840
ON_678100,JN.1.22,Homo sapiens,99.6,2023-11-24,Canada,EPI_ISL_18581888
ON_678065,JN.1.1,Homo sapiens,99.6,2023-11-24,Canada,EPI_ISL_18581853
ON_677843,JN.1,Homo sapiens,99.6,2023-11-24,Canada,EPI_ISL_18581667
ON_677966,JN.1.2,Homo sapiens,99.6,2023-11-24,Canada,EPI_ISL_18581775
AB_679090,JN.1,Homo sapiens,99.3,2023-11-24,Canada,EPI_ISL_18659315
AB_676301,JN.1,Homo sapiens,97.7,2023-11-24,Canada,EPI_ISL_18593688
AB_676271,JN.1,Homo sapiens,95.7,2023-11-24,Canada,EPI_ISL_18593661
SK_679559,JN.1,Homo sapiens,98.6,2023-11-24,Canada,EPI_ISL_18719751
ON_677838,JN.1.22,Homo sapiens,99.6,2023-11-24,Canada,EPI_ISL_18581663
ON_677828,JN.1.2,Homo sapiens,99.6,2023-11-24,Canada,EPI_ISL_18581654
ON_678027,JN.1.2,Homo sapiens,99.6,2023-11-24,Canada,EPI_ISL_18581815
NL_675790,JN.1.4,Homo sapiens,99.3,2023-11-24,Canada,EPI_ISL_18593291
ON_678051,JN.1,Homo sapiens,99.6,2023-11-24,Canada,EPI_ISL_18581839
BC_678749,JN.1.4,Homo sapiens,99.3,2023-11-24,Canada,EPI_ISL_18608975
ON_679970,JN.1,Homo sapiens,99.6,2023-11-24,Canada,EPI_ISL_18610436
ON_678207,JN.1.2,Homo sapiens,98.8,2023-11-24,Canada,EPI_ISL_18581991
ON_677967,JN.1.2,Homo sapiens,99.6,2023-11-24,Canada,EPI_ISL_18581776
ON_677861,JN.1,Homo sapiens,99.3,2023-11-24,Canada,EPI_ISL_18582221
ON_677795,JN.1.1,Homo sapiens,99.6,2023-11-24,Canada,EPI_ISL_18582207
NL_676617,JN.1.4,Homo sapiens,99.1,2023-11-25,Canada,EPI_ISL_18714835
ON_677976,JN.1.22,Homo sapiens,99.6,2023-11-25,Canada,EPI_ISL_18581785
AB_676273,JN.1,Homo sapiens,99.3,2023-11-25,Canada,EPI_ISL_18593663
AB_679078,JN.1,Homo sapiens,99.3,2023-11-25,Canada,EPI_ISL_18659305
ON_677837,JN.1,Homo sapiens,99.6,2023-11-25,Canada,EPI_ISL_18581662
AB_676281,JN.1,Homo sapiens,98.9,2023-11-25,Canada,EPI_ISL_18593670
ON_677992,JN.1.1,Homo sapiens,99.6,2023-11-25,Canada,EPI_ISL_18582239
ON_678147,JN.1.4,Homo sapiens,99.5,2023-11-25,Canada,EPI_ISL_18581933
MB_690448,JN.1.44,Homo sapiens,99.28,2023-11-25,Canada,EPI_ISL_18946989
ON_678036,JN.1.2,Homo sapiens,99.6,2023-11-25,Canada,EPI_ISL_18581824
AB_676458,JN.1.5,Homo sapiens,99.3,2023-11-25,Canada,EPI_ISL_18593790
SK_679561,JN.1.1,Homo sapiens,90.4,2023-11-25,Canada,EPI_ISL_18719705
AB_676315,JN.1.1,Homo sapiens,99.3,2023-11-25,Canada,EPI_ISL_18593702
NS_675813,JN.1.2,Homo sapiens,99.3,2023-11-25,Canada,EPI_ISL_18593309
AB_676507,JN.1.4.5,Homo sapiens,99.3,2023-11-25,Canada,EPI_ISL_18593832
AB_679287,JN.1,Homo sapiens,99.3,2023-11-25,Canada,EPI_ISL_18659480
AB_676328,JN.1.2,Homo sapiens,99.3,2023-11-25,Canada,EPI_ISL_18593715
AB_676275,JN.1,Homo sapiens,99.3,2023-11-25,Canada,EPI_ISL_18593665
AB_676282,JN.1,Homo sapiens,97.8,2023-11-26,Canada,EPI_ISL_18593671
NL_676618,JN.1.4,Homo sapiens,99.1,2023-11-26,Canada,EPI_ISL_18714836
ON_679802,JN.1.1,Homo sapiens,99.6,2023-11-26,Canada,EPI_ISL_18611127
AB_679117,JN.1.4,Homo sapiens,99.3,2023-11-26,Canada,EPI_ISL_18659341
AB_679544,JN.1,Homo sapiens,98.2,2023-11-26,Canada,EPI_ISL_18659703
ON_678309,JN.1,Homo sapiens,98.9,2023-11-26,Canada,EPI_ISL_18582077
AB_676365,JN.1.1,Homo sapiens,99.3,2023-11-26,Canada,EPI_ISL_18593749
ON_678130,JN.1.1,Homo sapiens,99.6,2023-11-26,Canada,EPI_ISL_18581916
SK_679558,JN.1,Homo sapiens,96.9,2023-11-26,Canada,EPI_ISL_18719616
AB_679293,JN.1,Homo sapiens,99.3,2023-11-26,Canada,EPI_ISL_18659485
AB_679298,JN.1.1,Homo sapiens,99.3,2023-11-26,Canada,EPI_ISL_18659488
AB_676317,JN.1,Homo sapiens,99.3,2023-11-26,Canada,EPI_ISL_18593704
ON_678046,JN.1.45,Homo sapiens,98.7,2023-11-26,Canada,EPI_ISL_18581834
ON_680049,JN.1.31,Homo sapiens,97.6,2023-11-26,Canada,EPI_ISL_18610508
ON_680352,JN.1.4,Homo sapiens,99.6,2023-11-26,Canada,EPI_ISL_18610777
ON_680349,JN.1.2,Homo sapiens,99.6,2023-11-26,Canada,EPI_ISL_18610774
ON_678054,JN.1,Homo sapiens,99.6,2023-11-26,Canada,EPI_ISL_18581842
ON_680070,JN.1,Homo sapiens,98.2,2023-11-27,Canada,EPI_ISL_18610527
AB_679203,JN.1,Homo sapiens,99.3,2023-11-27,Canada,EPI_ISL_18659414
QC_680796,JN.1,Homo sapiens,99.6,2023-11-27,Canada,EPI_ISL_18613643
QC_680831,JN.1,Homo sapiens,99.6,2023-11-27,Canada,EPI_ISL_18613678
ON_679955,JN.1,Homo sapiens,99.6,2023-11-27,Canada,EPI_ISL_18610426
ON_680514,JN.1.1,Homo sapiens,99.5,2023-11-27,Canada,EPI_ISL_18610907
ON_680337,JN.1,Homo sapiens,99.6,2023-11-27,Canada,EPI_ISL_18610762
AB_679515,JN.1,Homo sapiens,92.5,2023-11-27,Canada,EPI_ISL_18659677
QC_680784,JN.1.4.5,Homo sapiens,99.6,2023-11-27,Canada,EPI_ISL_18613631
QC_680782,JN.1.4,Homo sapiens,99.6,2023-11-27,Canada,EPI_ISL_18613629
QC_680786,JN.1.22,Homo sapiens,99.6,2023-11-27,Canada,EPI_ISL_18613633
QC_680779,JN.1.4.7,Homo sapiens,99.6,2023-11-27,Canada,EPI_ISL_18613626
AB_676483,JN.1,Homo sapiens,98.1,2023-11-27,Canada,EPI_ISL_18593812
QC_680815,JN.1,Homo sapiens,99.6,2023-11-27,Canada,EPI_ISL_18613662
QC_680829,JN.1.4,Homo sapiens,99.6,2023-11-27,Canada,EPI_ISL_18613676
SK_689859,JN.1,Homo sapiens,99.3,2023-11-27,Canada,EPI_ISL_18930093
ON_678304,JN.1.2,Homo sapiens,99.0,2023-11-27,Canada,EPI_ISL_18582072
QC_680769,JN.1,Homo sapiens,99.6,2023-11-27,Canada,EPI_ISL_18613616
AB_676475,JN.1,Homo sapiens,94.1,2023-11-27,Canada,EPI_ISL_18593805
QC_680809,JN.1.22,Homo sapiens,99.6,2023-11-27,Canada,EPI_ISL_18613656
ON_679954,JN.1,Homo sapiens,99.6,2023-11-27,Canada,EPI_ISL_18610425
ON_679856,JN.1.2,Homo sapiens,99.6,2023-11-27,Canada,EPI_ISL_18610332
AB_679174,JN.1.1,Homo sapiens,97.4,2023-11-27,Canada,EPI_ISL_18659388
QC_680821,JN.1.4,Homo sapiens,99.6,2023-11-27,Canada,EPI_ISL_18613668
QC_680811,JN.1,Homo sapiens,99.6,2023-11-27,Canada,EPI_ISL_18613658
QC_680834,JN.1.22,Homo sapiens,99.6,2023-11-27,Canada,EPI_ISL_18613681
AB_679171,JN.1,Homo sapiens,99.3,2023-11-27,Canada,EPI_ISL_18659385
QC_680783,JN.1,Homo sapiens,99.6,2023-11-27,Canada,EPI_ISL_18613630
ON_678359,JN.1,Homo sapiens,99.6,2023-11-27,Canada,EPI_ISL_18582124
QC_680816,JN.1.47.1,Homo sapiens,99.6,2023-11-27,Canada,EPI_ISL_18613663
AB_679209,JN.1,Homo sapiens,98.7,2023-11-27,Canada,EPI_ISL_18659417
QC_680813,JN.1.2,Homo sapiens,99.6,2023-11-27,Canada,EPI_ISL_18613660
QC_680827,JN.1.22,Homo sapiens,99.6,2023-11-27,Canada,EPI_ISL_18613674
QC_680830,JN.1,Homo sapiens,99.6,2023-11-27,Canada,EPI_ISL_18613677
ON_680502,JN.1.1,Homo sapiens,99.6,2023-11-27,Canada,EPI_ISL_18610897
QC_680778,JN.1.22,Homo sapiens,99.6,2023-11-27,Canada,EPI_ISL_18613625
AB_679281,JN.1,Homo sapiens,99.3,2023-11-27,Canada,EPI_ISL_18659475
QC_680807,JN.1.10,Homo sapiens,99.6,2023-11-27,Canada,EPI_ISL_18613654
QC_680833,JN.1.4,Homo sapiens,99.6,2023-11-27,Canada,EPI_ISL_18613680
ON_680547,JN.1.1,Homo sapiens,99.4,2023-11-27,Canada,EPI_ISL_18610934
AB_676500,JN.1,Homo sapiens,99.3,2023-11-27,Canada,EPI_ISL_18593827
QC_680825,JN.1.4,Homo sapiens,99.6,2023-11-27,Canada,EPI_ISL_18613672
QC_680808,JN.1.22,Homo sapiens,99.6,2023-11-27,Canada,EPI_ISL_18613655
ON_680052,JN.1.2,Homo sapiens,97.9,2023-11-27,Canada,EPI_ISL_18610511
BC_678974,JN.1.1,Homo sapiens,99.3,2023-11-27,Canada,EPI_ISL_18609153
AB_679175,JN.1.1,Homo sapiens,98.9,2023-11-27,Canada,EPI_ISL_18659389
ON_680344,JN.1,Homo sapiens,99.6,2023-11-27,Canada,EPI_ISL_18610769
BC_678972,JN.1.2,Homo sapiens,99.1,2023-11-27,Canada,EPI_ISL_18609151
ON_679936,JN.1.31,Homo sapiens,99.6,2023-11-27,Canada,EPI_ISL_18610407
ON_680348,JN.1,Homo sapiens,99.6,2023-11-27,Canada,EPI_ISL_18610773
AB_679545,JN.1,Homo sapiens,95.7,2023-11-27,Canada,EPI_ISL_18659704
ON_680153,JN.1,Homo sapiens,99.6,2023-11-27,Canada,EPI_ISL_18610603
ON_680601,JN.1.1,Homo sapiens,99.6,2023-11-27,Canada,EPI_ISL_18610985
ON_678292,JN.1,Homo sapiens,98.9,2023-11-28,Canada,EPI_ISL_18582060
ON_680607,JN.1,Homo sapiens,99.6,2023-11-28,Canada,EPI_ISL_18610991
AB_679483,JN.1,Homo sapiens,99.3,2023-11-28,Canada,EPI_ISL_18659647
BC_681056,JN.1.8.1,Homo sapiens,99.2,2023-11-28,Canada,EPI_ISL_18654462
ON_680097,JN.1,Homo sapiens,97.8,2023-11-28,Canada,EPI_ISL_18610554
BC_678967,JN.1.1,Homo sapiens,99.3,2023-11-28,Canada,EPI_ISL_18609147
ON_679903,JN.1.1,Homo sapiens,98.6,2023-11-28,Canada,EPI_ISL_18610375
ON_680449,JN.1.2,Homo sapiens,99.3,2023-11-28,Canada,EPI_ISL_18611192
ON_678377,JN.1,Homo sapiens,99.6,2023-11-28,Canada,EPI_ISL_18582142
BC_678985,JN.1.4,Homo sapiens,99.3,2023-11-28,Canada,EPI_ISL_18609160
ON_680137,JN.1,Homo sapiens,99.5,2023-11-28,Canada,EPI_ISL_18610587
ON_678351,JN.1.4,Homo sapiens,99.6,2023-11-28,Canada,EPI_ISL_18582116
ON_679941,JN.1,Homo sapiens,99.6,2023-11-28,Canada,EPI_ISL_18610412
ON_680318,JN.1,Homo sapiens,99.3,2023-11-28,Canada,EPI_ISL_18611176
AB_679533,JN.1,Homo sapiens,99.3,2023-11-28,Canada,EPI_ISL_18659693
ON_680159,JN.1.1,Homo sapiens,99.6,2023-11-28,Canada,EPI_ISL_18610609
ON_680132,JN.1.45,Homo sapiens,99.6,2023-11-28,Canada,EPI_ISL_18610582
NS_678522,JN.1.2,Homo sapiens,99.3,2023-11-28,Canada,EPI_ISL_18679745
ON_680597,JN.1,Homo sapiens,99.6,2023-11-28,Canada,EPI_ISL_18610981
AB_679516,JN.1,Homo sapiens,95.7,2023-11-28,Canada,EPI_ISL_18659678
ON_680588,JN.1,Homo sapiens,99.6,2023-11-28,Canada,EPI_ISL_18610972
AB_679164,JN.1,Homo sapiens,99.3,2023-11-28,Canada,EPI_ISL_18659379
ON_680295,JN.1.2,Homo sapiens,98.9,2023-11-28,Canada,EPI_ISL_18610729
ON_678251,JN.1,Homo sapiens,98.8,2023-11-28,Canada,EPI_ISL_18582026
ON_680107,JN.1,Homo sapiens,98.3,2023-11-28,Canada,EPI_ISL_18610561
ON_680412,JN.1.1,Homo sapiens,99.6,2023-11-28,Canada,EPI_ISL_18610832
ON_678367,JN.1,Homo sapiens,99.6,2023-11-28,Canada,EPI_ISL_18582132
AB_679508,JN.1,Homo sapiens,99.3,2023-11-28,Canada,EPI_ISL_18659670
SK_679722,JN.1,Homo sapiens,99.28,2023-11-28,Canada,EPI_ISL_19168903
ON_708040,JN.1,Homo sapiens,99.5,2023-11-28,Canada,EPI_ISL_19051452
ON_680580,JN.1,Homo sapiens,98.4,2023-11-28,Canada,EPI_ISL_18610964
BC_681130,JN.1.2,Homo sapiens,99.0,2023-11-28,Canada,EPI_ISL_18654523
AB_679211,JN.1,Homo sapiens,98.2,2023-11-28,Canada,EPI_ISL_18659419
ON_679906,JN.1,Homo sapiens,99.6,2023-11-28,Canada,EPI_ISL_18610378
ON_680261,JN.1.1,Homo sapiens,98.9,2023-11-28,Canada,EPI_ISL_18610696
ON_680131,JN.1.4,Homo sapiens,99.6,2023-11-28,Canada,EPI_ISL_18610581
ON_680210,JN.1,Homo sapiens,99.6,2023-11-28,Canada,EPI_ISL_18611168
ON_678372,JN.1,Homo sapiens,99.6,2023-11-28,Canada,EPI_ISL_18582137
ON_678370,JN.1,Homo sapiens,99.4,2023-11-28,Canada,EPI_ISL_18582135
ON_679889,JN.1.31,Homo sapiens,99.6,2023-11-28,Canada,EPI_ISL_18610361
ON_679893,JN.1,Homo sapiens,99.6,2023-11-28,Canada,EPI_ISL_18610365
ON_680581,JN.1,Homo sapiens,99.6,2023-11-28,Canada,EPI_ISL_18610965
ON_680498,JN.1.1,Homo sapiens,97.5,2023-11-28,Canada,EPI_ISL_18610893
BC_681061,JN.1,Homo sapiens,98.9,2023-11-28,Canada,EPI_ISL_18654467
AB_679482,JN.1.4.5,Homo sapiens,96.8,2023-11-28,Canada,EPI_ISL_18659646
ON_680593,JN.1,Homo sapiens,99.6,2023-11-28,Canada,EPI_ISL_18610977
ON_680579,JN.1,Homo sapiens,97.8,2023-11-28,Canada,EPI_ISL_18610963
ON_680564,JN.1.4,Homo sapiens,99.4,2023-11-29,Canada,EPI_ISL_18610949
AB_679532,JN.1,Homo sapiens,99.0,2023-11-29,Canada,EPI_ISL_18659692
AB_679305,JN.1,Homo sapiens,99.3,2023-11-29,Canada,EPI_ISL_18659493
ON_680208,JN.1.1,Homo sapiens,99.2,2023-11-29,Canada,EPI_ISL_18611166
SK_679752,JN.1.2,Homo sapiens,99.28,2023-11-29,Canada,EPI_ISL_19168904
BC_681166,JN.1.4,Homo sapiens,99.0,2023-11-29,Canada,EPI_ISL_18654556
ON_680028,JN.1.4,Homo sapiens,99.6,2023-11-29,Canada,EPI_ISL_18610488
NB_678624,JN.1.22,Homo sapiens,99.3,2023-11-29,Canada,EPI_ISL_18603906
ON_680046,JN.1,Homo sapiens,99.0,2023-11-29,Canada,EPI_ISL_18610505
ON_680585,JN.1,Homo sapiens,99.6,2023-11-29,Canada,EPI_ISL_18610969
ON_680386,JN.1.4,Homo sapiens,99.6,2023-11-29,Canada,EPI_ISL_18610810
ON_680044,JN.1.4,Homo sapiens,99.6,2023-11-29,Canada,EPI_ISL_18610503
ON_680378,JN.1.9,Homo sapiens,99.6,2023-11-29,Canada,EPI_ISL_18610802
ON_680149,JN.1.2,Homo sapiens,99.3,2023-11-29,Canada,EPI_ISL_18610599
ON_680143,JN.1.1,Homo sapiens,99.5,2023-11-29,Canada,EPI_ISL_18610593
ON_680743,JN.1.1,Homo sapiens,99.6,2023-11-29,Canada,EPI_ISL_18611241
ON_682575,JN.1.1,Homo sapiens,99.6,2023-11-29,Canada,EPI_ISL_18645299
AB_679139,JN.1,Homo sapiens,99.3,2023-11-29,Canada,EPI_ISL_18659361
NL_676634,JN.1,Homo sapiens,99.2,2023-11-29,Canada,EPI_ISL_18714849
ON_680305,JN.1.1,Homo sapiens,98.9,2023-11-29,Canada,EPI_ISL_18610737
ON_680140,JN.1,Homo sapiens,99.5,2023-11-29,Canada,EPI_ISL_18610590
AB_679531,JN.1,Homo sapiens,99.3,2023-11-29,Canada,EPI_ISL_18659691
ON_680317,JN.1.2,Homo sapiens,99.5,2023-11-29,Canada,EPI_ISL_18610748
AB_679146,JN.1,Homo sapiens,98.9,2023-11-29,Canada,EPI_ISL_18659367
ON_680325,JN.1,Homo sapiens,98.9,2023-11-29,Canada,EPI_ISL_18610755
AB_679535,JN.1,Homo sapiens,99.3,2023-11-29,Canada,EPI_ISL_18659694
ON_680433,JN.1,Homo sapiens,99.1,2023-11-29,Canada,EPI_ISL_18611187
AB_679120,JN.1,Homo sapiens,99.3,2023-11-29,Canada,EPI_ISL_18659344
ON_680608,JN.1,Homo sapiens,99.6,2023-11-29,Canada,EPI_ISL_18610992
AB_679142,JN.1,Homo sapiens,99.3,2023-11-29,Canada,EPI_ISL_18659364
ON_689284,JN.1.31,Homo sapiens,99.6,2023-11-29,Canada,EPI_ISL_18732426
ON_680563,JN.1.4,Homo sapiens,99.1,2023-11-29,Canada,EPI_ISL_18610948
SK_679776,JN.1.2,Homo sapiens,92.18,2023-11-29,Canada,EPI_ISL_19168906
AB_679102,JN.1.4.5,Homo sapiens,99.3,2023-11-29,Canada,EPI_ISL_18659327
ON_680625,JN.1,Homo sapiens,99.6,2023-11-29,Canada,EPI_ISL_18611005
ON_679919,JN.1.1,Homo sapiens,97.9,2023-11-29,Canada,EPI_ISL_18611135
ON_680643,JN.1.2,Homo sapiens,99.6,2023-11-29,Canada,EPI_ISL_18611019
ON_680639,JN.1.4,Homo sapiens,99.6,2023-11-29,Canada,EPI_ISL_18611230
NB_678631,JN.1.4,Homo sapiens,99.3,2023-11-29,Canada,EPI_ISL_18603978
ON_682611,JN.1.4,Homo sapiens,99.5,2023-11-30,Canada,EPI_ISL_18645335
ON_680255,JN.1.20,Homo sapiens,98.5,2023-11-30,Canada,EPI_ISL_18610690
ON_680375,JN.1.8,Homo sapiens,99.6,2023-11-30,Canada,EPI_ISL_18610800
ON_682440,JN.1.4,Homo sapiens,98.7,2023-11-30,Canada,EPI_ISL_18645164
ON_680445,JN.1.4,Homo sapiens,98.9,2023-11-30,Canada,EPI_ISL_18610861
ON_682432,JN.1.4,Homo sapiens,98.7,2023-11-30,Canada,EPI_ISL_18645156
AB_679148,JN.1,Homo sapiens,99.3,2023-11-30,Canada,EPI_ISL_18659368
ON_680269,JN.1,Homo sapiens,98.9,2023-11-30,Canada,EPI_ISL_18610704
ON_680446,JN.1.4,Homo sapiens,99.2,2023-11-30,Canada,EPI_ISL_18611191
ON_682535,JN.1.1,Homo sapiens,98.8,2023-11-30,Canada,EPI_ISL_18645259
ON_682406,JN.1,Homo sapiens,98.8,2023-11-30,Canada,EPI_ISL_18645130
ON_680677,JN.1.4.5,Homo sapiens,99.6,2023-11-30,Canada,EPI_ISL_18611047
NB_678644,JN.1.1,Homo sapiens,99.3,2023-11-30,Canada,EPI_ISL_18603972
ON_680272,JN.1,Homo sapiens,98.9,2023-11-30,Canada,EPI_ISL_18610707
ON_680631,JN.1.43.1,Homo sapiens,99.6,2023-11-30,Canada,EPI_ISL_18611010
ON_682539,JN.1,Homo sapiens,98.2,2023-11-30,Canada,EPI_ISL_18645263
AB_679439,JN.1.4,Homo sapiens,99.3,2023-11-30,Canada,EPI_ISL_18659606
ON_680442,JN.1,Homo sapiens,99.5,2023-11-30,Canada,EPI_ISL_18610860
ON_680271,JN.1.4,Homo sapiens,98.9,2023-11-30,Canada,EPI_ISL_18610706
ON_682324,JN.1.2,Homo sapiens,98.9,2023-11-30,Canada,EPI_ISL_18645047
ON_680680,JN.1.1,Homo sapiens,99.6,2023-11-30,Canada,EPI_ISL_18611237
AB_679327,JN.1,Homo sapiens,99.3,2023-11-30,Canada,EPI_ISL_18659512
ON_680662,JN.1.1,Homo sapiens,99.6,2023-11-30,Canada,EPI_ISL_18611033
ON_680674,JN.1.8,Homo sapiens,99.6,2023-11-30,Canada,EPI_ISL_18611044
AB_679542,JN.1,Homo sapiens,99.3,2023-11-30,Canada,EPI_ISL_18659701
ON_680441,JN.1,Homo sapiens,99.5,2023-11-30,Canada,EPI_ISL_18610859
ON_680377,JN.1,Homo sapiens,99.5,2023-11-30,Canada,EPI_ISL_18611182
ON_682387,JN.1,Homo sapiens,98.8,2023-11-30,Canada,EPI_ISL_18645111
BC_681214,JN.1,Homo sapiens,99.0,2023-11-30,Canada,EPI_ISL_18654600
AB_679322,JN.1,Homo sapiens,99.3,2023-11-30,Canada,EPI_ISL_18659508
ON_680615,JN.1,Homo sapiens,98.5,2023-11-30,Canada,EPI_ISL_18611223
AB_679539,JN.1,Homo sapiens,99.3,2023-11-30,Canada,EPI_ISL_18659698
ON_680391,JN.1.52,Homo sapiens,99.6,2023-11-30,Canada,EPI_ISL_18610815
NL_680836,JN.1.4,Homo sapiens,95.9,2023-11-30,Canada,EPI_ISL_18714798
BC_681146,JN.1.4,Homo sapiens,99.0,2023-11-30,Canada,EPI_ISL_18654536
ON_680668,JN.1,Homo sapiens,99.4,2023-12-01,Canada,EPI_ISL_18611039
ON_682329,JN.1.3,Homo sapiens,94.2,2023-12-01,Canada,EPI_ISL_18645052
ON_682506,JN.1.2,Homo sapiens,98.9,2023-12-01,Canada,EPI_ISL_18645230
AB_679355,JN.1.1,Homo sapiens,99.3,2023-12-01,Canada,EPI_ISL_18659538
SK_680896,JN.1,Homo sapiens,95.95,2023-12-01,Canada,EPI_ISL_19168907
ON_683214,JN.1.1,Homo sapiens,99.6,2023-12-01,Canada,EPI_ISL_18645940
ON_680702,JN.1.31,Homo sapiens,99.6,2023-12-01,Canada,EPI_ISL_18611071
ON_680737,JN.1.4,Homo sapiens,99.6,2023-12-01,Canada,EPI_ISL_18611103
ON_682534,JN.1.4,Homo sapiens,98.9,2023-12-01,Canada,EPI_ISL_18645258
ON_682641,JN.1.2,Homo sapiens,98.9,2023-12-01,Canada,EPI_ISL_18645365
SK_680909,JN.1.64,Homo sapiens,98.66,2023-12-01,Canada,EPI_ISL_19168909
AB_679416,JN.1,Homo sapiens,99.3,2023-12-01,Canada,EPI_ISL_18659584
BC_681081,JN.1,Homo sapiens,99.0,2023-12-01,Canada,EPI_ISL_18654481
ON_683122,JN.1.1,Homo sapiens,99.6,2023-12-01,Canada,EPI_ISL_18645848
BC_681172,JN.1,Homo sapiens,98.9,2023-12-01,Canada,EPI_ISL_18654562
ON_682409,JN.1.4,Homo sapiens,98.8,2023-12-01,Canada,EPI_ISL_18645133
ON_680611,JN.1,Homo sapiens,99.6,2023-12-01,Canada,EPI_ISL_18610995
ON_682375,JN.1.1,Homo sapiens,98.9,2023-12-01,Canada,EPI_ISL_18645099
BC_681170,JN.1.8.1,Homo sapiens,98.9,2023-12-01,Canada,EPI_ISL_18654560
ON_680746,JN.1.2,Homo sapiens,99.6,2023-12-01,Canada,EPI_ISL_18611110
ON_682831,JN.1.2,Homo sapiens,99.6,2023-12-01,Canada,EPI_ISL_18645556
ON_682395,JN.1.8,Homo sapiens,98.8,2023-12-01,Canada,EPI_ISL_18645119
ON_682824,JN.1.1,Homo sapiens,99.6,2023-12-02,Canada,EPI_ISL_18645549
AB_679342,JN.1,Homo sapiens,98.1,2023-12-02,Canada,EPI_ISL_18659526
ON_682541,JN.1.2,Homo sapiens,98.7,2023-12-02,Canada,EPI_ISL_18645265
ON_680696,JN.1.4,Homo sapiens,99.6,2023-12-02,Canada,EPI_ISL_18611065
ON_683264,JN.1,Homo sapiens,99.6,2023-12-02,Canada,EPI_ISL_18645990
ON_682851,JN.1.39,Homo sapiens,99.6,2023-12-02,Canada,EPI_ISL_18645576
ON_682753,JN.1.2,Homo sapiens,99.6,2023-12-02,Canada,EPI_ISL_18645478
ON_683486,JN.1,Homo sapiens,98.3,2023-12-02,Canada,EPI_ISL_18643396
ON_682847,JN.1.4,Homo sapiens,98.9,2023-12-02,Canada,EPI_ISL_18645572
MB_686195,JN.1.4,Homo sapiens,99.27,2023-12-02,Canada,EPI_ISL_18947035
AB_679370,JN.1.31,Homo sapiens,99.2,2023-12-02,Canada,EPI_ISL_18659550
ON_682556,JN.1.2,Homo sapiens,99.6,2023-12-02,Canada,EPI_ISL_18645280
ON_680735,JN.1,Homo sapiens,99.6,2023-12-02,Canada,EPI_ISL_18611101
AB_679427,JN.1,Homo sapiens,99.3,2023-12-02,Canada,EPI_ISL_18659594
BC_681287,JN.1.2,Homo sapiens,99.0,2023-12-02,Canada,EPI_ISL_18654663
ON_680681,JN.1,Homo sapiens,99.6,2023-12-02,Canada,EPI_ISL_18611050
ON_682754,JN.1.2,Homo sapiens,99.6,2023-12-02,Canada,EPI_ISL_18645479
ON_682745,JN.1.2,Homo sapiens,99.6,2023-12-02,Canada,EPI_ISL_18645470
AB_679401,JN.1.1,Homo sapiens,98.9,2023-12-02,Canada,EPI_ISL_18659573
BC_681268,JN.1.1,Homo sapiens,99.0,2023-12-02,Canada,EPI_ISL_18654647
ON_682830,JN.1,Homo sapiens,98.3,2023-12-02,Canada,EPI_ISL_18645555
BC_681106,JN.1,Homo sapiens,99.0,2023-12-02,Canada,EPI_ISL_18654504
BC_681274,JN.1,Homo sapiens,99.0,2023-12-03,Canada,EPI_ISL_18654653
NL_680840,JN.1.22,Homo sapiens,95.9,2023-12-03,Canada,EPI_ISL_18714802
QC_682269,JN.1.4,Homo sapiens,99.6,2023-12-03,Canada,EPI_ISL_18654318
ON_682738,JN.1.45,Homo sapiens,99.6,2023-12-03,Canada,EPI_ISL_18645463
NS_678548,JN.1.22,Homo sapiens,99.3,2023-12-03,Canada,EPI_ISL_18679771
SK_684032,JN.1.2,Homo sapiens,98.0,2023-12-03,Canada,EPI_ISL_18719749
ON_682863,JN.1,Homo sapiens,99.6,2023-12-03,Canada,EPI_ISL_18645588
ON_683042,JN.1.31,Homo sapiens,99.6,2023-12-03,Canada,EPI_ISL_18645767
ON_682767,JN.1.4,Homo sapiens,99.6,2023-12-03,Canada,EPI_ISL_18645492
AB_679441,JN.1,Homo sapiens,99.3,2023-12-03,Canada,EPI_ISL_18659608
NL_680838,JN.1.4,Homo sapiens,94.5,2023-12-03,Canada,EPI_ISL_18714800
